X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,entrezgene_id
ENST00000434819.2,131.6778973,-6.431500402,1.102610358,-5.832976586,5.44472E-09,8.6744E-06,2806
ENST00000435135.5,18.43086641,-7.614737593,2.155561942,-3.532599757,0.000411495,0.047977671,109
ENST00000435633.5,139.5997871,-2.24507393,0.53060915,-4.231125547,2.32525E-05,0.005452556,9045
ENST00000439160.6,59.98408836,-9.317578484,2.278005002,-4.090236184,4.30934E-05,0.008418326,6949
ENST00000440126.7,612.3724287,-1.068313162,0.271413229,-3.936113089,8.2812E-05,0.014106158,351
ENST00000440191.6,314.915804,-2.241273711,0.469975924,-4.768911765,1.85224E-06,0.000760091,1974
ENST00000443239.7,46.24015792,-8.942107635,1.773954945,-5.040774941,4.6365E-07,0.000272989,1789
ENST00000444685.1,34.06356602,-8.501367073,1.910626512,-4.449518008,8.60632E-06,0.002533626,10951
ENST00000447878.6,29.57347063,-8.296887119,1.910915515,-4.341838795,1.41295E-05,0.003693033,4598
ENST00000449113.6,207.5129522,-1.665176173,0.46493051,-3.581559261,0.00034155,0.042316472,5514
ENST00000450991.6,82.88267682,-6.316293196,1.015197507,-6.221738282,4.91677E-10,1.40174E-06,25977
ENST00000451442.5,32.84439886,-8.447853634,1.891194162,-4.466941471,7.93458E-06,0.00238778,57136
ENST00000456820.2,52.66928272,-7.675882997,1.74955097,-4.387344599,1.14743E-05,0.003160054,9798
ENST00000458033.6,19.88726709,-7.723771332,2.1823943,-3.53912734,0.000401452,0.047092547,10095
ENST00000462974.5,52.45424174,-5.082388933,1.296029965,-3.921505729,8.79974E-05,0.014803232,3251
ENST00000467321.6,20.74830737,-7.785674999,2.087276946,-3.730063235,0.000191432,0.027003837,2778
ENST00000467403.5,28.68825168,-8.252275174,2.086440912,-3.955192368,7.64731E-05,0.013150459,5152
ENST00000467648.6,21.81244701,-7.857355886,2.079096248,-3.779217001,0.000157322,0.023540976,7360
ENST00000468893.6,23.6832963,-7.976128224,2.03044169,-3.928272486,8.55582E-05,0.014482871,22796
ENST00000470512.6,44.04332482,-8.871173424,1.784700714,-4.970678475,6.6719E-07,0.000354317,2778
ENST00000474378.1,27.59196897,-8.196670209,1.945358446,-4.213449827,2.51499E-05,0.005676343,8761
ENST00000477245.5,35.4270578,-6.076255731,1.580200303,-3.845243997,0.000120433,0.018799971,5297
ENST00000478296.5,20.02608032,-7.733918511,2.15173209,-3.594275769,0.000325295,0.041229867,100131827
ENST00000480191.1,23.5083578,-7.96642959,2.10474372,-3.784987937,0.000153716,0.023153485,112495
ENST00000480388.1,23.15023093,-7.943652776,2.027015052,-3.918891854,8.8957E-05,0.014872295,445815
ENST00000480861.5,172.8271274,-3.118683448,0.755021793,-4.130587326,3.61838E-05,0.007480924,3614
ENST00000485641.5,20.24141176,-7.750610378,2.196992274,-3.527827781,0.000418985,0.048598632,8409
ENST00000490163.5,24.23854924,-8.010044605,2.006679743,-3.991690568,6.56039E-05,0.011767001,23190
ENST00000490508.5,27.3988251,-8.186254767,1.976474611,-4.141846662,3.44521E-05,0.007261477,84173
ENST00000503715.5,19.77263252,-7.715879098,2.119305244,-3.640758744,0.000271836,0.035913301,7913
ENST00000504026.5,22.33953908,-7.892360686,2.049803714,-3.850300705,0.000117973,0.018505735,51426
ENST00000504612.5,293.5351715,-2.156457128,0.548270358,-3.933200283,8.38223E-05,0.014233506,27032
ENST00000506128.5,59.70414161,-3.002614363,0.76695227,-3.914995082,9.04061E-05,0.015021825,51720
ENST00000507218.5,19.38037148,-7.687204192,2.125370876,-3.616876602,0.000298179,0.038640622,7690
